17,2,14,10,20,10,13,19,6,13,11,4,15,16,8,15,13,1,12,18
12,7,4,8,3,20,13,9,15,14,17,15,10,10,7,2,18,19,16,6
20,12,12,4,10,18,19,17,10,7,13,7,1,3,2,8,15,5,17,9
5,5,18,10,1,2,6,10,19,4,10,17,18,14,14,20,16,9,13,8
1,1,8,11,12,13,5,3,2,12,4,19,16,14,4,17,16,15,13,7
19,18,13,1,17,5,2,7,11,17,14,10,11,12,13,14,7,3,20,4
6,3,1,20,7,18,4,11,2,15,12,1,13,9,17,18,10,5,14,7
9,12,5,4,14,3,11,16,15,17,10,18,4,9,6,8,12,2,8,1
10,16,16,9,8,6,6,19,20,19,3,2,18,11,18,10,2,13,7,4
2,7,10,15,18,17,12,7,8,18,11,13,4,19,5,1,9,14,14,20
11,12,16,6,9,15,8,1,13,4,19,18,5,7,5,8,8,4,18,6
19,13,11,3,6,2,20,7,5,9,1,12,17,14,10,9,8,16,19,11
7,6,8,13,14,9,8,2,5,2,4,11,3,17,14,16,11,19,1,12
13,20,13,11,15,19,16,14,5,3,17,8,11,4,9,5,17,10,6,13
3,13,9,2,14,1,10,6,7,19,18,16,14,15,19,13,19,12,14,17
1,15,18,14,19,3,16,5,1,8,7,20,12,2,9,10,13,13,17,3
13,17,19,3,10,4,11,12,16,1,6,6,3,8,10,14,5,18,9,14
6,14,7,19,13,8,18,3,12,15,2,1,6,5,3,11,5,9,10,15
15,5,13,16,14,14,2,18,3,11,8,19,9,2,1,4,6,17,17,10
18,10,20,18,12,4,15,13,11,5,17,16,19,4,1,3,16,11,4,16
